order_month,total_revenue
2016-09,134.97
2016-10,40325.11000000017
2016-12,10.9
2017-01,111798.3599999997
2017-02,234223.39999999575
2017-03,359198.8500000013
2017-04,340669.67999999964
2017-05,489338.2500000083
2017-06,421923.370000004
2017-07,481604.52000001055
2017-08,554699.700000014
2017-09,607399.6700000159
2017-10,648247.6500000155
2017-11,987765.3700000346
2017-12,726033.1900000202
2018-01,924645.000000037
2018-02,826437.1300000271
2018-03,953356.2500000313
2018-04,973534.090000028
2018-05,977544.6900000286
2018-06,856077.8600000197
2018-07,867953.4600000221
2018-08,838576.6400000238
